Athletics,"Women's 10,000m",1,1,1,ETH,AYANA Almaz ,KEN,CHERUIYOT Vivian Jepkemoi ,ETH,DIBABA Tirunesh 
Athletics,Women's 100m,1,1,1,JAM,THOMPSON Elaine ,USA,BOWIE Tori ,JAM,FRASER-PRYCE Shelly-Ann 
Athletics,Women's 100m Hurdles,1,1,1,USA,ROLLINS Brianna ,USA,ALI Nia ,USA,CASTLIN Kristi 
Athletics,Women's 1500m,1,1,1,KEN,KIPYEGON Faith Chepngetich,ETH,DIBABA Genzebe ,USA,SIMPSON Jennifer 
Athletics,Women's 200m,1,1,1,JAM,THOMPSON Elaine ,NED,SCHIPPERS Dafne ,USA,BOWIE Tori 
Athletics,Women's 20km Walk,1,1,1,CHN,LIU Hong ,MEX,GONZALEZ Maria Guadalupe,CHN,LU Xiuzhi 
Athletics,Women's 3000m Steeplechase,1,1,1,BRN,JEBET Ruth ,KEN,JEPKEMOI Hyvin Kiyeng ,USA,COBURN Emma 
Athletics,Women's 4 x 100m Relay,1,1,1,USA,United States,JAM,Jamaica,GBR,Great Britain
Athletics,Women's 4 x 400m Relay,1,1,1,USA,United States,JAM,Jamaica,GBR,Great Britain
Athletics,Women's 400m,1,1,1,BAH,MILLER Shaunae ,USA,FELIX Allyson ,JAM,JACKSON Shericka 
Athletics,Women's 400m Hurdles,1,1,1,USA,MUHAMMAD Dalilah ,DEN,PETERSEN Sara Slott ,USA,SPENCER Ashley 
Athletics,Women's 5000m,1,1,1,KEN,CHERUIYOT Vivian Jepkemoi ,KEN,OBIRI Hellen Onsando ,ETH,AYANA Almaz 
Athletics,Women's 800m,1,1,1,RSA,SEMENYA Caster ,BDI,NIYONSABA Francine ,KEN,WAMBUI Margaret Nyairera 
Athletics,Women's Discus Throw,1,1,1,CRO,PERKOVIC Sandra ,FRA,ROBERT-MICHON Melina ,CUB,CABALLERO Denia 
Athletics,Women's Hammer Throw,1,1,1,POL,WLODARCZYK Anita ,CHN,ZHANG Wenxiu ,GBR,HITCHON Sophie 
Athletics,Women's Heptathlon,1,1,1,BEL,THIAM Nafissatou ,GBR,ENNIS-HILL Jessica ,CAN,THEISEN EATON Brianne 
Athletics,Women's High Jump,1,1,1,ESP,BEITIA Ruth ,BUL,DEMIREVA Mirela ,CRO,VLASIC Blanka 
Athletics,Women's Javelin Throw,1,1,1,CRO,KOLAK Sara ,RSA,VILJOEN Sunette ,CZE,SPOTAKOVA Barbora 
Athletics,Women's Long Jump,1,1,1,USA,BARTOLETTA Tianna ,USA,REESE Brittney ,SRB,SPANOVIC Ivana 
Athletics,Women's Marathon,1,1,1,KEN,SUMGONG Jemima Jelagat ,BRN,KIRWA Eunice Jepkirui ,ETH,DIBABA Mare 
Athletics,Women's Pole Vault,1,1,1,GRE,STEFANIDI Ekaterini ,USA,MORRIS Sandi ,NZL,MCCARTNEY Eliza 
Athletics,Women's Shot Put,1,1,1,USA,CARTER Michelle ,NZL,ADAMS Valerie ,HUN,MARTON Anita 
Athletics,Women's Triple Jump,1,1,1,COL,IBARGUEN Caterine ,VEN,ROJAS Yulimar ,KAZ,RYPAKOVA Olga 
Badminton,Men's Doubles,1,1,1,CHN,Zhang / Fu,MAS,Goh / Tan,GBR,Ellis / Langridge
